date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90013.27821337004,9566.688508987427,99579.96672235747,1
2026-01-06,90013.27821337004,9455.999225616455,99469.2774389865,1
2026-01-07,81009.93177607536,18975.130657196045,99985.0624332714,2
2026-01-08,81009.93177607536,18790.156219482422,99800.08799555778,2
2026-01-09,81009.93177607536,18898.058097839355,99907.98987391472,2
2026-01-12,81009.93177607536,19237.174701690674,100247.10647776604,2
2026-01-13,81009.93177607536,19961.651149749756,100971.58292582512,2
2026-01-14,72926.65939916123,28086.158645629883,101012.81804479111,3
2026-01-15,72926.65939916123,27859.48105621338,100786.14045537461,3
2026-01-16,72926.65939916123,27773.129165649414,100699.78856481065,3
2026-01-20,72926.65939916123,29046.828338623047,101973.48773778428,3
2026-01-21,65630.87600398294,36024.31643676758,101655.19244075051,4
2026-01-22,59082.661329738214,42122.7847328186,101205.44606255682,5
2026-01-23,59082.661329738214,43322.17837524414,102404.83970498235,5
2026-01-26,59082.661329738214,42746.46795654297,101829.12928628118,5
2026-01-27,59082.661329738214,43418.130111694336,102500.79144143255,5
2026-01-28,53190.60401481945,49348.07702636719,102538.68104118665,6
2026-01-29,47890.90634087975,53583.77108001709,101474.67742089684,7
2026-01-30,47890.90634087975,53845.6442565918,101736.55059747155,7
2026-02-02,47890.90634087975,52717.565393447876,100608.47173432763,7
2026-02-03,43106.17700810113,58465.75276184082,101571.92976994195,8
2026-02-04,48155.37755345928,52506.63316345215,100662.01071691143,8
2026-02-05,48155.37755345928,53806.30194091797,101961.67949437725,8
2026-02-06,57877.104925438034,42080.134731292725,99957.23965673076,7
2026-02-09,57877.104925438034,42599.84239387512,100476.94731931316,7
2026-02-10,57877.104925438034,43249.476194381714,101126.58111981975,7
2026-02-11,57877.104925438034,44516.269260406494,102393.37418584453,7
2026-02-12,52104.85828339206,52339.62446784973,104444.4827512418,8
2026-02-13,60925.251529852016,43642.74579620361,104567.99732605563,7
2026-02-17,54851.40824276233,48760.90563392639,103612.31387668871,8
2026-02-18,54851.40824276233,48047.671478271484,102899.0797210338,8
2026-02-19,49381.713665452844,54366.94021606445,103748.6538815173,9
2026-02-20,56909.53718115414,46079.60355758667,102989.14073874081,8
2026-02-23,64251.19281775082,41925.80967712402,106177.00249487485,7
2026-02-24,57823.575009403496,47829.41896820068,105652.99397760417,8
2026-02-25,52046.31974805603,51783.530740737915,103829.85048879395,9
2026-02-26,52046.31974805603,50541.018657684326,102587.33840574036,9
2026-02-27,58286.65261548767,46323.95594787598,104610.60856336364,8
2026-03-02,57618.55360238015,47075.0199508667,104693.57355324685,8
2026-03-03,51867.944664646435,52708.17901611328,104576.12368075972,9
2026-03-04,46686.86179950907,57222.5575428009,103909.41934230996,10
2026-03-05,51914.07596309855,52668.52544784546,104582.60141094401,9
2026-03-06,57873.54394710734,48101.10224914551,105974.64619625284,8
2026-03-09,52103.826549191625,54352.23819351196,106456.06474270359,9
2026-03-10,46913.64267394189,60097.53015136719,107011.17282530907,10
2026-03-11,46913.64267394189,61184.10437011719,108097.74704405907,10
2026-03-12,42236.33624363139,67881.81310844421,110118.1493520756,11
2026-03-13,42236.33624363139,67860.59204101562,110096.92828464702,11
2026-03-16,48862.08890323833,60020.36982917786,108882.45873241618,10
2026-03-17,48862.08890323833,59313.350564956665,108175.43946819499,10
2026-03-18,48862.08890323833,60842.04126167297,109704.1301649113,10
2026-03-19,55639.89455280498,54040.17935752869,109680.07391033367,9
2026-03-20,55639.89455280498,53853.421812057495,109493.31636486248,9
2026-03-23,61720.32794513897,46851.24254608154,108571.57049122051,8
2026-03-24,61720.32794513897,46806.16147041321,108526.48941555218,8
2026-03-25,61720.32794513897,46658.28011512756,108378.60806026653,8
2026-03-26,68453.47797794537,40553.96019744873,109007.4381753941,7
2026-03-27,74999.60761356549,36047.39799499512,111047.0056085606,6
2026-03-30,74999.60761356549,35269.94899749756,110269.55661106305,6
2026-03-31,74999.60761356549,33725.9991645813,108725.60677814679,6
2026-04-01,81620.9575479527,27121.599731445312,108742.55727939801,5
2026-04-02,87468.24743137555,21110.959579467773,108579.20701084333,4
2026-04-06,92878.04743137555,15427.5,108305.54743137555,3
2026-04-07,92878.04743137555,15437.700233459473,108315.74766483503,3
2026-04-08,98318.49740238386,9171.199951171875,107489.69735355573,2
2026-04-09,103244.04740238386,4189.5,107433.54740238386,1
2026-04-10,103244.04740238386,4282.10987663269,107526.15727901655,1
2026-04-13,107375.67731266218,0.0,107375.67731266218,0
2026-04-14,107375.67731266218,0.0,107375.67731266218,0
2026-04-15,107375.67731266218,0.0,107375.67731266218,0
2026-04-16,107375.67731266218,0.0,107375.67731266218,0
2026-04-17,107375.67731266218,0.0,107375.67731266218,0
